V_x,V_y,K_x,K_y
56998.973095091394,16.782439380060236,57015.66029985623,10.960752177395408
57020.79482439926,16.552783594805582,57038.12384473198,10.855390736267719
57045.183815978635,16.37651400223693,57287.79010063668,9.92731755007789
57060.58738960772,16.55481797952994,57336.568083795435,9.663536601704957
57072.78188539741,16.271415062364,57340.41897720271,9.859001598527641
57087.543643458615,16.059149985236928,57346.19531731361,9.965806796556487
57101.02177038406,16.201852229853657,57358.389813103306,9.78891376350779
57107.43992606284,16.432951772009467,57374.435202300265,9.842989021987526
57292.92462517971,14.40099518425698,57441.8258369275,9.89968929301482
57308.328198808784,13.602958557141903,57651.05771205586,10.602700465908228
57313.46272335181,14.38429354192313,57656.83405216676,10.762760605995696
57319.8808790306,13.92307883731684,57662.610392277675,10.65654603579005
57326.940850277264,13.603910124190392,57689.566646128565,10.551414283260275
57328.22448141302,13.7992438703857,57692.775723967956,10.693591525367491
57360.95707537482,14.031688731472135,57694.70117067159,10.622683373926527
57364.80796878209,13.747859249767213,,
57379.56972684329,13.837372177639008,,
57403.31690285479,13.874089540648004,,
57406.52598069418,14.14052831422534,,
57409.73505853357,14.069685788098067,,
57412.94413637297,13.768071846383425,,
57416.79502978024,13.981288490558985,,
57425.138632162656,14.247989765391077,,
57431.556787841444,14.337076128723893,,
57436.69131238447,14.514855103507394,,
57438.61675908811,14.19542388912619,,
57438.61675908811,13.751632705304331,,
57447.6021770384,14.01836679279327,,
57459.796672828095,13.504192460039958,,
57470.70753748203,13.788776632852304,,
57477.12569316081,13.789104759420749,,
57491.88745122201,13.825362745233921,,
57625.38508934072,14.524502024619677,,
57637.579585130414,15.643479248330806,,
57640.14684740193,16.12290497748579,,
57688.283014992805,16.01885604263188,,
57690.20846169644,16.356235780307028,,
57699.193879646744,16.605218220443092,,
57724.224686794,16.464484735237033,,
57728.71739576915,16.32270124501195,,
